set_list_id,setlist_title,played_by,played_at,song_title,song_artist,song_youtube_id
347,2016-12-31,OmegaPhone,2016-12-31 20:17:11 -0800,she's fine,a.c. Reed and Bonnie raitt,9Ed0jlghKRw
347,2016-12-31,OmegaPhone,2016-12-31 20:16:15 -0800,born under a bad sign,Albert king,2Py37G9qsfY
347,2016-12-31,OmegaPhone,2016-12-31 20:10:43 -0800,I hear some blues downstairs,Fenton Robinson,I82T2kfqC5Y
346,2016-12-28,ent|mobile,2016-12-28 17:30:47 -0800,Ukulele Anthem,Amanda Palmer,OZaR_4us6Ec
346,2016-12-28,ent|mobile,2016-12-28 15:52:27 -0800,My Love (Live),Humming House,H-8ouY8qb6o
346,2016-12-28,ent|mobile,2016-12-28 14:42:43 -0800,Bilgewater,Brown Bird,zoqH9irCn3o
345,2016-12-27,ent|android,2016-12-27 18:31:39 -0800,My Love (Live),Humming House,H-8ouY8qb6o
345,2016-12-27,ent|android,2016-12-27 18:06:02 -0800,With Wind,fox capture plan,8cMhQ_teEoY
344,2016-12-16,OmegaPhone,2016-12-16 23:51:27 -0800,blue jean blues,zz top,b76kjd5nvMg
344,2016-12-16,OmegaPhone,2016-12-16 23:51:10 -0800,Blues go walking,Greg brown,hoxjXGuIuHA
344,2016-12-16,OmegaPhone,2016-12-16 23:50:42 -0800,le ballet,Celine Dion,Pxr6BgBc9ac
344,2016-12-16,OmegaPhone,2016-12-16 23:50:30 -0800,slow and soulful blues improvisation,Jonny may,_U6cKW22HuI
344,2016-12-16,OmegaPhone,2016-12-16 23:41:23 -0800,pride and joy,Stevie Ray Vaughan,0vo23H9J8o8
344,2016-12-16,OmegaPhone,2016-12-16 23:39:53 -0800,sharp dressed man,zz top,7wRHBLwpASw
344,2016-12-16,OmegaPhone,2016-12-16 23:38:35 -0800,sweet pea,Amos Lee,50Qo62s8QNg
344,2016-12-16,OmegaPhone,2016-12-16 23:38:18 -0800,rock me baby,Otis Redding,rKpI3o-1CSM
344,2016-12-16,OmegaPhone,2016-12-16 23:37:49 -0800,crossfire,Stevie Ray Vaughan,ZPBRzwIjgv4
344,2016-12-16,OmegaPhone,2016-12-16 23:36:19 -0800,bad to the bone,George thoroughgood,
344,2016-12-16,OmegaPhone,2016-12-16 23:35:37 -0800,au fond du lac,feufollet,7r1WfR_NBwE
344,2016-12-16,OmegaPhone,2016-12-16 23:34:38 -0800,at last,etta james,S-cbOl96RFM
344,2016-12-16,OmegaPhone,2016-12-16 23:24:16 -0800,la Grange,zz top,Vppbdf-qtGU
344,2016-12-16,OmegaPhone,2016-12-16 23:21:08 -0800,firecracker,David Keogh,
344,2016-12-16,OmegaPhone,2016-12-16 23:19:41 -0800,things going on (studio version),lynyrd skynyrd,
344,2016-12-16,OmegaPhone,2016-12-16 23:18:28 -0800,keep your hands to yourself,Georgia satellites,PdpAop7gp0w
344,2016-12-16,OmegaPhone,2016-12-16 23:18:03 -0800,st James infirmary,Hugh Laurie,7tm-9t-ZF2s
344,2016-12-16,OmegaPhone,2016-12-16 23:17:29 -0800,arms of a woman,Amos Lee,Th4SwSpaRWU
344,2016-12-16,OmegaPhone,2016-12-16 23:16:54 -0800,love me like a man,Bonnie raitt,reaGKcwp1nI
344,2016-12-16,OmegaPhone,2016-12-16 22:46:05 -0800,ain't no sunshine,bill withers,tIdIqbv7SPo
344,2016-12-16,OmegaPhone,2016-12-16 22:45:37 -0800,don't let the devil ride,lurrie bell,x47HMOgVZXk
344,2016-12-16,OmegaPhone,2016-12-16 22:45:04 -0800,bottom of the river,delta Rae,bimam2j2gEg
344,2016-12-16,OmegaPhone,2016-12-16 22:44:19 -0800,key to the highway,b.b. king and Eric Clapton,PP7CYAD16sY
